"","Player","From","To","plyrprofs"
"288","Willie Somerset",1966,1969,"/players/s/somerwi01.html"
"289","Darius Songaila",2004,2011,"/players/s/songada01.html"
"290","Dave Sorenson",1971,1973,"/players/s/sorenda01.html"
"291","James Southerland",2014,2014,"/players/s/southja01.html"
"292","Gino Sovran",1947,1947,"/players/s/sovragi01.html"
"293","Pape Sow",2005,2007,"/players/s/sowpa01.html"
"294","Ken Spain",1971,1971,"/players/s/spainke01.html"
"295","Ray Spalding",2019,2019,"/players/s/spaldra01.html"
"296","Jim Spanarkel",1980,1984,"/players/s/spanaji01.html"
"297","Vassilis Spanoulis",2007,2007,"/players/s/spanova01.html"
"298","Daniel Sparks",1969,1970,"/players/s/sparkda01.html"
"299","Guy Sparrow",1958,1960,"/players/s/sparrgu01.html"
"300","Rory Sparrow",1981,1992,"/players/s/sparrro01.html"
"301","Odie Spears",1949,1957,"/players/s/spearod01.html"
"302","Art Spector",1947,1950,"/players/s/spectar01.html"
"303","Marreese Speights",2009,2018,"/players/s/speigma01.html"
"304","Omari Spellman",2019,2020,"/players/s/spellom01.html"
"305","Andre Spencer",1993,1994,"/players/s/spencan01.html"
"306","Elmore Spencer",1993,1997,"/players/s/spencel01.html"
"307","Felton Spencer",1991,2002,"/players/s/spencfe01.html"
"308","Lou Spicer",1947,1947,"/players/s/spicelo01.html"
"309","Craig Spitzer",1968,1968,"/players/s/spitzcr01.html"
"310","Tiago Splitter",2011,2017,"/players/s/splitti01.html"
"311","Art Spoelstra",1955,1958,"/players/s/spoelar01.html"
"312","Bruce Spraggins",1968,1968,"/players/s/spragbr01.html"
"313","Latrell Sprewell",1993,2005,"/players/s/sprewla01.html"
"314","Larry Spriggs",1982,1986,"/players/s/sprigla01.html"
"315","Jim Springer",1949,1949,"/players/s/sprinji01.html"
"316","Jim Spruill",1949,1949,"/players/s/spruiji01.html"
"317","Ryan Stack",1999,2000,"/players/s/stackry01.html"
"318","Jerry Stackhouse",1996,2013,"/players/s/stackje01.html"
"319","Kevin Stacom",1975,1982,"/players/s/stacoke01.html"
"320","Erv Staggs",1970,1970,"/players/s/stagger01.html"
"321","Bud Stallworth",1973,1977,"/players/s/stallbu01.html"
"322","Dave Stallworth",1966,1975,"/players/s/stallda01.html"
"323","Ed Stanczak",1950,1951,"/players/s/stanced01.html"
"324","Terence Stansbury",1985,1987,"/players/s/stanste01.html"
"325","John Starks",1989,2002,"/players/s/starkjo01.html"
"326","Keith Starr",1977,1977,"/players/s/starrke01.html"
"327","Nik Stauskas",2015,2019,"/players/s/stausni01.html"
"328","Larry Staverman",1959,1964,"/players/s/stavela01.html"
"329","Larry Steele",1972,1980,"/players/s/steella01.html"
"330","Matt Steigenga",1997,1997,"/players/s/steigma01.html"
"331","Vladimir Stepania",1999,2004,"/players/s/stepavl01.html"
"332","D.J. Stephens",2014,2019,"/players/s/stephdj01.html"
"333","Everette Stephens",1989,1991,"/players/s/stephev01.html"
"334","Jack Stephens",1956,1956,"/players/s/stephja01.html"
"335","Joe Stephens",1997,2000,"/players/s/stephjo01.html"
"336","Lance Stephenson",2011,2019,"/players/s/stephla01.html"
"337","Alex Stepheson",2016,2016,"/players/s/stephal01.html"
"338","Brook Steppe",1983,1989,"/players/s/steppbr01.html"
"339","Barry Stevens",1993,1993,"/players/s/steveba01.html"
"340","Wayne Stevens",1960,1960,"/players/s/stevewa01.html"
"341","DeShawn Stevenson",2001,2013,"/players/s/stevede01.html"
"342","Dennis Stewart",1971,1971,"/players/s/stewade01.html"
